index, time in ns
1, 35448375
2, 6312959
3, 8453167
4, 2139375
5, 2063125
6, 2062000
7, 2086583
8, 2091417
9, 2449667
10, 2623875
11, 2647375
12, 2650041
13, 2664667
14, 2679958
15, 2688750
16, 2682542
17, 6913583
18, 2125000
19, 2058583
20, 2146041
21, 2088125
22, 2086417
23, 2062959
24, 2070500
25, 2075750
26, 2233375
27, 2336667
28, 2078125
29, 2068083
30, 2081167
31, 2064250
32, 2074458
33, 2071583
34, 2098458
35, 2253458
36, 2662833
37, 2637917
38, 2626542
39, 2599375
40, 2601667
41, 2612708
42, 2625375
43, 2573667
44, 2627375
45, 2629084
46, 2627541
47, 2599292
48, 2634916
49, 4388125
50, 2790583
51, 2795917
52, 2877709
53, 2882375
54, 2770625
55, 2794209
56, 2711959
57, 2749625
58, 2794000
59, 2738625
60, 2728292
61, 2721000
62, 2780583
63, 2712458
64, 2728583
65, 2719833
66, 2712209
67, 2722875
68, 2727083
69, 2739375
70, 2710417
71, 2720208
72, 2713375
73, 5879083
74, 2200500
75, 2129625
76, 2179084
77, 2229750
78, 2127750
79, 2168042
80, 2094708
81, 2111084
82, 2135000
83, 2114875
84, 2107333
85, 2085375
86, 2093500
87, 2158916
88, 2121500
89, 2137958
90, 2259541
91, 2268208
92, 2150459
93, 2079417
94, 2137709
95, 2110917
96, 2114708
97, 2102750
98, 2102292
99, 2128583
100, 2112333
101, 2147208
102, 2112833
103, 2104000
104, 2110667
105, 2111292
106, 2158209
107, 2096042
108, 2089709
109, 2092708
110, 2087083
111, 2100333
112, 2113458
113, 2072167
114, 2222875
115, 2106959
116, 2100541
117, 2100500
118, 2108958
119, 2178208
120, 2092708
121, 2129083
122, 2333291
123, 2126125
124, 2140042
125, 2111625
126, 5106166
127, 2237083
128, 2196000
129, 2227792
130, 2151250
131, 2149959
132, 2327500
133, 2180750
134, 2162833
135, 2122833
136, 2152167
137, 2161041
138, 2263208
139, 2236750
140, 2137666
141, 2227709
142, 2148916
143, 2148917
144, 2131708
145, 2232291
146, 2139417
147, 2118708
148, 2198333
149, 2169000
150, 2148583
151, 2165041
152, 2227708
153, 2157584
154, 2117625
155, 2151292
156, 2215541
157, 2129458
158, 2119583
159, 2187125
160, 2150375
161, 2166542
162, 2141459
163, 2144000
164, 2156834
165, 2178416
166, 2141334
167, 2204583
168, 2146625
169, 2133500
170, 2163625
171, 2135583
172, 2116208
173, 2170041
174, 2171375
175, 2139416
176, 2197708
177, 2285208
178, 5536250
179, 2910708
180, 2735917
181, 2746667
182, 2741750
183, 2810833
184, 2719125
185, 2824083
186, 2703083
187, 2724750
188, 2808833
189, 2714500
190, 2713541
191, 2727500
192, 2715250
193, 2810708
194, 2719583
195, 2711167
196, 2815417
197, 2255458
198, 2103041
199, 2118917
200, 2190458
201, 2113500
202, 2131708
203, 2135167
204, 2111458
205, 2115000
206, 2130166
207, 2136667
208, 2114333
209, 2114166
210, 2145958
211, 2148041
212, 2094666
213, 2125667
214, 2142625
215, 2096208
216, 2092375
217, 2126000
218, 2133166
219, 2135041
220, 2133000
221, 2133959
222, 2166167
223, 2119792
224, 2099292
225, 2198458
226, 2139083
227, 2119000
228, 2106083
229, 2116208
230, 2161333
231, 2108458
232, 2134041
233, 2092917
234, 2106375
235, 2131458
236, 2131084
237, 2166500
238, 2089083
239, 2129833
240, 2124250
241, 2127291
242, 2113375
243, 5106250
244, 2198042
245, 2184042
246, 2143875
247, 2117583
248, 2130000
249, 2188750
250, 2139459
251, 2128375
252, 2112125
253, 2214750
254, 2131125
255, 2151750
256, 2215666
257, 2384958
258, 2142625
259, 2127459
260, 2107875
261, 2141625
262, 2174458
263, 2085917
264, 2114083
265, 2077500
266, 2153041
267, 2169000
268, 2146292
269, 2147291
270, 2125583
271, 2123708
272, 2116208
273, 2112375
274, 2146750
275, 2115083
276, 2091500
277, 2124459
278, 2126167
279, 2146709
280, 2135542
281, 2121416
282, 2100625
283, 2109542
284, 2119666
285, 2185667
286, 2098916
287, 2121250
288, 2103709
289, 2113083
290, 2101583
291, 2115666
292, 2094750
293, 2123208
294, 2178250
295, 2109666
296, 2118125
297, 2106416
298, 2087625
299, 2202875
300, 2129625
301, 2106208
302, 2100750
303, 2128583
304, 2117958
305, 2115666
306, 2155000
307, 2113875
308, 5238292
309, 2190208
310, 2143458
311, 2191792
312, 2116875
313, 2115042
314, 2113375
315, 2089000
316, 2138709
317, 2102083
318, 2099958
319, 2096125
320, 2132625
321, 2092875
322, 2087167
323, 2106084
324, 2116083
325, 2088875
326, 2178083
327, 2114875
328, 2118250
329, 2090167
330, 2115542
331, 2189333
332, 2155792
333, 2124916
334, 2097208
335, 2110792
336, 2149792
337, 2077833
338, 2111708
339, 2091083
340, 2078167
341, 2111750
342, 2087458
343, 2126750
344, 2128042
345, 2117792
346, 2130333
347, 2089875
348, 2115125
349, 2101875
350, 2101083
351, 2094500
352, 2133833
353, 2093750
354, 2088459
355, 2080500
356, 2114292
357, 2161333
358, 2078917
359, 2131791
360, 2136750
361, 2104875
362, 2121500
363, 2187708
364, 2101083
365, 2120334
366, 2087708
367, 2095667
368, 2144708
369, 2114791
370, 2093000
371, 2076917
372, 2092209
373, 3380834
374, 2133667
375, 2111542
376, 2351666
377, 2140666
378, 2082625
379, 2141250
380, 2154500
381, 2107708
382, 2212458
383, 2140250
384, 2137125
385, 2125958
386, 2105125
387, 2111625
388, 2097500
389, 2126542
390, 2131667
391, 2120208
392, 2126542
393, 2149375
394, 2127625
395, 2175250
396, 2112250
397, 2129042
398, 2103125
399, 2118125
400, 2189958
401, 2113208
402, 2151000
403, 2121792
404, 2135209
405, 2150000
406, 2108625
407, 2106875
408, 2115916
409, 2096791
410, 2096875
411, 2082167
412, 2117667
413, 2090625
414, 2115084
415, 2113833
416, 2106917
417, 2105083
418, 2122958
419, 2110417
420, 2102041
421, 2094083
422, 2092541
423, 2120084
424, 2117500
425, 2132875
426, 2113833
427, 2134875
428, 2123292
429, 2094167
430, 2126333
431, 2118834
432, 2158250
433, 2122750
434, 2126250
435, 2111875
436, 2104625
437, 5170083
438, 2146292
439, 2221208
440, 2298083
441, 2201875
442, 2229167
443, 2111875
444, 2187625
445, 2145000
446, 2126291
447, 2128917
448, 2094791
449, 2160125
450, 2103708
451, 2087209
452, 2093083
453, 2089500
454, 2132667
455, 2115291
456, 2139375
457, 2113334
458, 2098625
459, 2113375
460, 2147000
461, 2099625
462, 2094416
463, 2096166
464, 2153500
465, 2112083
466, 2136875
467, 2113458
468, 2095584
469, 2148042
470, 2112542
471, 2117375
472, 2102125
473, 2089250
474, 2165333
475, 2087958
476, 2104292
477, 2094500
478, 2101417
479, 2125625
480, 2089792
481, 2102958
482, 2111458
483, 2105084
484, 2142000
485, 2106875
486, 2095292
487, 2105042
488, 2118375
489, 2100917
490, 2086958
491, 2103875
492, 2103708
493, 2125834
494, 2086667
495, 2095083
496, 2079416
497, 2100334
498, 2116000
499, 2106916
500, 2079750
501, 2111041
502, 4986625
503, 2255292
504, 2152250
505, 2289375
506, 2196000
507, 2182667
508, 2145583
509, 2163083
510, 2108292
511, 2156875
512, 2157334
513, 2112917
514, 2109458
515, 2108000
516, 2102500
517, 2130209
518, 2126541
519, 2088209
520, 2100125
521, 2117000
522, 2116917
523, 2109667
524, 2114208
525, 2109667
526, 2111167
527, 2140958
528, 2100209
529, 2100209
530, 2140750
531, 2067958
532, 2129916
533, 2091833
534, 2120875
535, 2097917
536, 2107375
537, 2114500
538, 2126500
539, 2103333
540, 2095083
541, 2073250
542, 2087292
543, 2169000
544, 2090250
545, 2107750
546, 2091542
547, 2099583
548, 2127042
549, 2108584
550, 2082334
551, 2107125
552, 2093542
553, 2104708
554, 2151125
555, 2114750
556, 2102625
557, 2124375
558, 2083667
559, 2106875
560, 2111750
561, 2115500
562, 2106667
563, 2116792
564, 2099791
565, 2117250
566, 2133417
567, 5417250
568, 2282875
569, 2356833
570, 2346417
571, 2134500
572, 2141375
573, 2148000
574, 2143959
575, 2170708
576, 2124834
577, 2143417
578, 2122167
579, 2133709
580, 2169166
581, 2222833
582, 2113500
583, 2114167
584, 2104541
585, 2118500
586, 2099208
587, 2141750
588, 2114459
589, 2116500
590, 2121000
591, 2156208
592, 2134459
593, 2139958
594, 2135000
595, 2125666
596, 2150709
597, 2114958
598, 2134917
599, 2113458
600, 2112583
601, 2102542
602, 2130750
603, 2108625
604, 2115500
605, 2139958
606, 2106000
607, 2159667
608, 2125541
609, 2118458
610, 2104625
611, 2103958
612, 2192750
613, 2168875
614, 2156542
615, 2116500
616, 2138834
617, 2155667
618, 2126917
619, 2112750
620, 2104250
621, 2127958
622, 2120125
623, 2120000
624, 2122459
625, 2170541
626, 2100458
627, 2134125
628, 2114792
629, 2112584
630, 2119625
631, 4423542
632, 3067459
633, 2106000
634, 2153958
635, 2129958
636, 2180875
637, 2100291
638, 2184250
639, 2118917
640, 2240791
641, 2132875
642, 2097666
643, 2126833
644, 2130375
645, 2119666
646, 2153917
647, 2102458
648, 2092667
649, 2160250
650, 2095875
651, 2107167
652, 2124958
653, 2092709
654, 2191750
655, 2119000
656, 2077708
657, 2115750
658, 2098333
659, 2064667
660, 2116708
661, 2131750
662, 2081792
663, 2106125
664, 2094125
665, 2122959
666, 2125875
667, 2101625
668, 2086666
669, 2093583
670, 2184792
671, 2135125
672, 2123375
673, 2098625
674, 2110000
675, 2103041
676, 2151875
677, 2099000
678, 2109750
679, 2131084
680, 2089292
681, 2172250
682, 2115500
683, 2102250
684, 2112375
685, 2099416
686, 2191833
687, 2104042
688, 2104791
689, 2188625
690, 2091875
691, 2133916
692, 2096750
693, 2106375
694, 2123750
695, 2142667
696, 5036667
697, 2188708
698, 2208834
699, 2219709
700, 2255458
701, 2100625
702, 2109916
703, 2117625
704, 2125875
705, 2121959
706, 2094875
707, 2119500
708, 2120958
709, 2103209
710, 2114834
711, 2185958
712, 2092041
713, 2204875
714, 2103083
715, 2105792
716, 2098083
717, 2120500
718, 2172666
719, 2108500
720, 2102583
721, 2123750
722, 2098917
723, 2145208
724, 2084375
725, 2148083
726, 2120250
727, 2101792
728, 2113750
729, 2121541
730, 2132000
731, 2106167
732, 2130042
733, 2119167
734, 2155000
735, 2113833
736, 2111416
737, 2109666
738, 2114125
739, 2121541
740, 2125166
741, 2128792
742, 2125208
743, 2099458
744, 2131208
745, 2131208
746, 2107667
747, 2140542
748, 2122416
749, 2111333
750, 2139500
751, 2125083
752, 2113625
753, 2096084
754, 2108125
755, 2180583
756, 2131709
757, 2135000
758, 2099292
759, 2095458
760, 2168209
761, 4950791
762, 2298875
763, 2200750
764, 2299709
765, 2169792
766, 2123459
767, 2210459
768, 2100708
769, 2073209
770, 2109875
771, 2099584
772, 2092959
773, 2091000
774, 2100458
775, 2106000
776, 2126291
777, 2095125
778, 2109250
779, 2113209
780, 2119625
781, 2103334
782, 2141750
783, 2108334
784, 2137125
785, 2107500
786, 2121542
787, 2184875
788, 2094625
789, 2097708
790, 2115333
791, 2096833
792, 2180000
793, 2098167
794, 2106291
795, 2110625
796, 2095542
797, 2095334
798, 2099250
799, 2144959
800, 2120000
801, 2098708
802, 2108083
803, 2109875
804, 2083083
805, 2140333
806, 2124917
807, 2119084
808, 2104500
809, 2099750
810, 2106542
811, 2114042
812, 2094333
813, 2125041
814, 2090125
815, 2094500
816, 2122042
817, 2103708
818, 2099208
819, 2149292
820, 2095916
821, 2132959
822, 2116125
823, 2087583
824, 2163417
825, 2123583
826, 5171042
827, 2216125
828, 2140750
829, 2335875
830, 2099416
831, 2218083
832, 2157458
833, 2139291
834, 2112667
835, 2114958
836, 2084709
837, 2092250
838, 2120542
839, 2130541
840, 2078750
841, 2107458
842, 2136334
843, 2119458
844, 2091459
845, 2077209
846, 2105375
847, 2095542
848, 2067250
849, 2111333
850, 2100000
851, 2109667
852, 2106084
853, 2091791
854, 2101916
855, 2111750
856, 2154375
857, 2111416
858, 2118958
