index, time in ns
1, 8487167
2, 2119209
3, 1711750
4, 1723791
5, 1711125
6, 1785833
7, 1996583
8, 2029417
9, 1535250
10, 1462000
11, 1470875
12, 1457542
13, 1451084
14, 1703792
15, 1568833
16, 1531000
17, 1652833
18, 1347541
19, 1709167
20, 1444000
21, 1409500
22, 1374833
23, 1379458
24, 1373583
25, 1432167
26, 2046375
27, 1384792
28, 1505875
29, 1150500
30, 1360042
31, 1424750
32, 1271292
33, 1075209
34, 1078708
35, 1084875
36, 1075084
37, 1108250
38, 1081583
39, 1092167
40, 1079875
41, 1080167
42, 1093208
43, 1082875
44, 1077500
45, 1135042
46, 1291875
47, 1082708
48, 1101875
49, 1101042
50, 1260333
51, 1127292
52, 1126958
53, 1116166
54, 1208917
55, 1706917
56, 1191667
57, 1078750
58, 1079166
59, 1077459
60, 1093417
61, 1082792
62, 1085208
63, 1467791
64, 1088542
65, 1082750
66, 1092125
67, 1178375
68, 1105334
69, 1095291
70, 1083917
71, 1076459
72, 1366083
73, 1089167
74, 1079791
75, 1091042
76, 1080708
77, 1077125
78, 1078583
79, 1080541
80, 1084625
81, 1108958
82, 1093584
83, 1075875
84, 1081667
85, 1089334
86, 1086708
87, 1084333
88, 1085167
89, 1124375
90, 1262834
91, 1081875
92, 1074208
93, 1079667
94, 1078917
95, 1077917
96, 1092584
97, 1088416
98, 1202459
99, 1091250
100, 1094083
101, 1087500
102, 1084667
103, 1083833
104, 1082917
105, 1123875
106, 1112000
107, 1470042
108, 1091334
109, 1135042
110, 1082875
111, 1082208
112, 1087125
113, 1194750
114, 1093250
115, 1084708
116, 1360791
117, 1100458
118, 1088292
119, 1099708
120, 1084291
121, 1116291
122, 1091916
123, 1104000
124, 1088292
125, 1235375
126, 1098833
127, 1087458
128, 1102250
129, 1090125
130, 1083750
131, 1086250
132, 1096000
133, 1116250
134, 1105250
135, 1100083
136, 1090375
137, 1089625
138, 1088792
139, 1091583
140, 1080875
141, 1084333
142, 1398958
143, 1091458
144, 1087250
145, 1097458
146, 1084250
147, 1085083
148, 1091584
149, 1081625
150, 1084208
151, 1448667
152, 1097584
153, 1082417
154, 1091334
155, 1096208
156, 1082125
157, 1083625
158, 1085791
159, 1083625
160, 1135083
161, 1109458
162, 1099333
163, 1087209
164, 1093083
165, 1096917
166, 1084916
167, 1081708
168, 1126167
169, 1307000
170, 1089500
171, 1082250
172, 1104542
173, 1081042
174, 1094209
175, 1098583
176, 1090167
177, 1175667
178, 1104417
179, 1080958
180, 1086834
181, 1109000
182, 1091250
183, 1086041
184, 1093042
185, 1098958
186, 1881583
187, 1079083
188, 1078875
189, 1091000
190, 1089334
191, 1082541
192, 1104209
193, 1077042
194, 1077083
195, 1393333
196, 1081417
197, 1076542
198, 1081042
199, 1081875
200, 1083541
201, 1082000
202, 1079042
203, 1080708
204, 1126750
205, 1086375
206, 1074292
207, 1078917
208, 1079042
209, 1094125
210, 1078667
211, 1079167
212, 1106750
